from,to,weights
110,armforces,1
120,armforces,1
140,armforces,1
190,armforces,1
1110,manager,1
1120,manager,1
1130,xefe,1
1141,manager,1
1142,manager,1
1143,manager,1
1210,manager,1
1221,manager,1
1222,manager,1
1223,manager,1
1224,manager,1
1225,manager,1
1226,manager,1
1227,manager,1
1228,manager,1
1229,manager,1
1231,manager,1
1232,manager,1
1233,manager,1
1234,manager,1
1235,manager,1
1236,manager,1
1237,manager,1
1239,manager,1
1311,manager,1
1312,manager,1
1313,manager,1
1314,manager,1
1315,manager,1
1316,manager,1
1317,manager,1
1318,manager,1
1319,manager,1
2111,professional,1
2112,professional,1
2113,professional,1
2114,professional,1
2121,professional,1
2122,professional,1
2131,professional,1
2132,professional,1
2133,professional,1
2141,professional,1
2142,professional,1
2143,professional,1
2144,professional,1
2145,professional,1
2146,professional,1
2147,professional,1
2148,professional,1
2149,professional,1
2211,professional,1
2212,professional,1
2213,professional,1
2214,professional,1
2221,professional,1
2222,professional,1
2223,professional,1
2224,professional,1
2229,professional,1
2231,professional,1
2232,professional,1
2311,professional,1
2312,professional,1
2313,professional,1
2314,professional,1
2315,professional,1
2316,professional,1
2410,teacher,1
2421,teacher,1
2422,teacher,1
2431,teacher,1
2432,teacher,1
2440,teacher,1
2450,teacher,1
2461,teacher,1
2462,teacher,1
2469,teacher,1
2511,professional,1
2512,professional,1
2513,professional,1
2519,professional,1
2611,professional,1
2612,professional,1
2619,professional,1
2911,professional,1
2912,professional,1
2921,professional,1
2922,professional,1
2923,professional,1
2924,professional,1
2925,professional,1
2927,professional,1
2928,professional,1
2931,professional,1
2932,professional,1
2933,professional,1
2934,professional,1
2935,professional,1
2939,professional,1
3111,assprofclerk,1
3112,assprofclerk,1
3113,assprofclerk,1
3114,assprofclerk,1
3115,assprofclerk,1
3116,assprofclerk,1
3117,assprofclerk,1
3118,assprofclerk,1
3119,assprofclerk,1
3121,assprofclerk,1
3122,assprofclerk,1
3123,assprofclerk,1
3131,assprofclerk,1
3132,assprofclerk,1
3133,assprofclerk,1
3139,assprofclerk,1
3151,assprofclerk,1
3152,assprofclerk,1
3211,assprofclerk,1
3212,assprofclerk,1
3213,assprofclerk,1
3221,assprofclerk,1
3222,assprofclerk,1
3223,assprofclerk,1
3224,assprofclerk,1
3225,assprofclerk,1
3226,assprofclerk,1
3227,assprofclerk,1
3228,assprofclerk,1
3229,assprofclerk,1
3231,assprofclerk,1
3232,assprofclerk,1
3241,assprofclerk,1
3242,assprofclerk,1
3310,assprofclerk,1
3320,assprofclerk,1
3411,assprofclerk,1
3412,assprofclerk,1
3413,assprofclerk,1
3414,assprofclerk,1
3415,assprofclerk,1
3416,assprofclerk,1
3417,assprofclerk,1
3419,assprofclerk,1
3511,assprofclerk,1
3512,assprofclerk,1
3513,assprofclerk,1
3519,assprofclerk,1
3911,assprofclerk,1
3912,assprofclerk,1
3913,assprofclerk,1
3914,assprofclerk,1
3919,assprofclerk,1
3921,assprofclerk,1
3922,assprofclerk,1
3923,assprofclerk,1
3924,assprofclerk,1
3929,assprofclerk,1
3930,assprofclerk,1
3940,assprofclerk,1
3951,assprofclerk,1
3952,assprofclerk,1
3953,assprofclerk,1
3955,assprofclerk,1
3960,assprofclerk,1
4111,assprofclerk,1
4112,assprofclerk,1
4113,assprofclerk,1
4114,assprofclerk,1
