to,parts
armforces,"110,120,140,190"
assprofclerk,"3111,3112,3113,3114,3115,3116,3117,3118,3119,3121,3122,3123,3131,3132,3133,3139,3151,3152,3211,3212,3213,3221,3222,3223,3224,3225,3226,3227,3228,3229,3231,3232,3241,3242,3310,3320,3411,3412,3413,3414,3415,3416,3417,3419,3511,3512,3513,3519,3911,3912,3913,3914,3919,3921,3922,3923,3924,3929,3930,3940,3951,3952,3953,3955,3960,4111,4112,4113,4114,4115,4121,4122,4131,4132,4133,4141,4142,4143,4144,4190,4211,4212,4213,4214,4221,4222,4223"
craftrademach,"7111,7112,7113,7121,7122,7123,7124,7129,7131,7132,7133,7134,7136,7137,7141,7142,7143,7221,7222,7223,7224,7231,7232,7233,7241,7242,7243,7244,7245,7311,7312,7313,7321,7322,7323,7324,7331,7332,7343,7344,7345,7346,7411,7412,7413,7414,7415,7416,7421,7422,7423,7424,7431,7432,7433,7434,7435,7436,7437,8251,8252,8253,8262,8263,8266,8269,8331,8332,8333,8334"
driver,"8321,8322,8323,8324,9331,9332,9333"
farmer,"6111,6112,6113,6114,6121,6122,6123,6124,6129,6130,6141,6142,6151,6152,6153,6154,6210"
labourer,"9211,9212,9213,9311,9312,9313"
manager,"1110,1120,1141,1142,1143,1210,1221,1222,1223,1224,1225,1226,1227,1228,1229,1231,1232,1233,1234,1235,1236,1237,1239,1311,1312,1313,1314,1315,1316,1317,1318,1319"
notclass,"9998,9999"
professional,"2111,2112,2113,2114,2121,2122,2131,2132,2133,2141,2142,2143,2144,2145,2146,2147,2148,2149,2211,2212,2213,2214,2221,2222,2223,2224,2229,2231,2232,2311,2312,2313,2314,2315,2316,2511,2512,2513,2519,2611,2612,2619,2911,2912,2921,2922,2923,2924,2925,2927,2928,2931,2932,2933,2934,2935,2939"
svcsales,"5111,5112,5113,5121,5122,5123,5131,5132,5133,5134,5141,5142,5143,5149,5151,5152,5161,5162,5163,5169,5210,5220,5230,9111,9112,9113,9131,9132,9133,9141,9142,9151,9152,9153,9161,9162"
teacher,"2410,2421,2422,2431,2432,2440,2450,2461,2462,2469"
xefe,1130
